,Category,SubCategory,ObjectName,X,Y,Z,Shadow,Texture,Background,Name,Shape,Size,Datatype
39,Automobile,Bike,Dirtbike,0,360,0,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y360_Z0_Yes_Black_White.png,"(540, 960, 3)",16872,uint8
40,Automobile,Bike,Dirtbike,0,360,135,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y360_Z135_Yes_Black_White.png,"(540, 960, 3)",20623,uint8
41,Automobile,Bike,Dirtbike,0,360,180,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y360_Z180_Yes_Black_White.png,"(540, 960, 3)",17268,uint8
42,Automobile,Bike,Dirtbike,0,360,360,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y360_Z360_Yes_Black_White.png,"(540, 960, 3)",16872,uint8
43,Automobile,Bike,Dirtbike,0,360,45,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y360_Z45_Yes_Black_White.png,"(540, 960, 3)",18680,uint8
44,Automobile,Bike,Dirtbike,0,360,90,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y360_Z90_Yes_Black_White.png,"(540, 960, 3)",17609,uint8
45,Automobile,Bike,Dirtbike,0,45,0,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y45_Z0_Yes_Black_White.png,"(540, 960, 3)",48250,uint8
46,Automobile,Bike,Dirtbike,0,45,135,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y45_Z135_Yes_Black_White.png,"(540, 960, 3)",52902,uint8
47,Automobile,Bike,Dirtbike,0,45,180,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y45_Z180_Yes_Black_White.png,"(540, 960, 3)",43985,uint8
48,Automobile,Bike,Dirtbike,0,45,360,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y45_Z360_Yes_Black_White.png,"(540, 960, 3)",48250,uint8
49,Automobile,Bike,Dirtbike,0,45,45,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y45_Z45_Yes_Black_White.png,"(540, 960, 3)",50262,uint8
50,Automobile,Bike,Dirtbike,0,45,90,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y45_Z90_Yes_Black_White.png,"(540, 960, 3)",45938,uint8
51,Automobile,Bike,Dirtbike,0,90,0,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y90_Z0_Yes_Black_White.png,"(540, 960, 3)",50712,uint8
52,Automobile,Bike,Dirtbike,0,90,135,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y90_Z135_Yes_Black_White.png,"(540, 960, 3)",49517,uint8
53,Automobile,Bike,Dirtbike,0,90,180,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y90_Z180_Yes_Black_White.png,"(540, 960, 3)",44824,uint8
54,Automobile,Bike,Dirtbike,0,90,225,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y90_Z225_Yes_Black_White.png,"(540, 960, 3)",48763,uint8
55,Automobile,Bike,Dirtbike,0,90,270,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y90_Z270_Yes_Black_White.png,"(540, 960, 3)",57582,uint8
56,Automobile,Bike,Dirtbike,0,90,315,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y90_Z315_Yes_Black_White.png,"(540, 960, 3)",57630,uint8
57,Automobile,Bike,Dirtbike,0,90,360,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y90_Z360_Yes_Black_White.png,"(540, 960, 3)",50712,uint8
58,Automobile,Bike,Dirtbike,0,90,45,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y90_Z45_Yes_Black_White.png,"(540, 960, 3)",58090,uint8
59,Automobile,Bike,Dirtbike,0,90,90,Yes,Black,White,Automobile_Bike_Dirtbike_X0_Y90_Z90_Yes_Black_White.png,"(540, 960, 3)",47004,uint8
60,Automobile,Bike,Dirtbike,135,0,0,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y0_Z0_Yes_Black_White.png,"(540, 960, 3)",25504,uint8
61,Automobile,Bike,Dirtbike,135,0,135,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y0_Z135_Yes_Black_White.png,"(540, 960, 3)",31596,uint8
62,Automobile,Bike,Dirtbike,135,0,180,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y0_Z180_Yes_Black_White.png,"(540, 960, 3)",29105,uint8
63,Automobile,Bike,Dirtbike,135,0,360,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y0_Z360_Yes_Black_White.png,"(540, 960, 3)",25504,uint8
64,Automobile,Bike,Dirtbike,135,0,45,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y0_Z45_Yes_Black_White.png,"(540, 960, 3)",34645,uint8
65,Automobile,Bike,Dirtbike,135,0,90,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y0_Z90_Yes_Black_White.png,"(540, 960, 3)",31137,uint8
66,Automobile,Bike,Dirtbike,135,135,0,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y135_Z0_Yes_Black_White.png,"(540, 960, 3)",48418,uint8
67,Automobile,Bike,Dirtbike,135,135,180,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y135_Z180_Yes_Black_White.png,"(540, 960, 3)",55424,uint8
68,Automobile,Bike,Dirtbike,135,135,225,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y135_Z225_Yes_Black_White.png,"(540, 960, 3)",52437,uint8
69,Automobile,Bike,Dirtbike,135,135,270,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y135_Z270_Yes_Black_White.png,"(540, 960, 3)",54423,uint8
70,Automobile,Bike,Dirtbike,135,135,315,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y135_Z315_Yes_Black_White.png,"(540, 960, 3)",52878,uint8
71,Automobile,Bike,Dirtbike,135,135,360,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y135_Z360_Yes_Black_White.png,"(540, 960, 3)",48418,uint8
72,Automobile,Bike,Dirtbike,135,180,0,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y180_Z0_Yes_Black_White.png,"(540, 960, 3)",24586,uint8
73,Automobile,Bike,Dirtbike,135,180,180,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y180_Z180_Yes_Black_White.png,"(540, 960, 3)",28503,uint8
74,Automobile,Bike,Dirtbike,135,180,225,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y180_Z225_Yes_Black_White.png,"(540, 960, 3)",33063,uint8
75,Automobile,Bike,Dirtbike,135,180,270,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y180_Z270_Yes_Black_White.png,"(540, 960, 3)",30684,uint8
76,Automobile,Bike,Dirtbike,135,180,315,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y180_Z315_Yes_Black_White.png,"(540, 960, 3)",32459,uint8
77,Automobile,Bike,Dirtbike,135,180,360,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y180_Z360_Yes_Black_White.png,"(540, 960, 3)",24586,uint8
78,Automobile,Bike,Dirtbike,135,225,0,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y225_Z0_Yes_Black_White.png,"(540, 960, 3)",46893,uint8
79,Automobile,Bike,Dirtbike,135,225,180,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y225_Z180_Yes_Black_White.png,"(540, 960, 3)",51793,uint8
80,Automobile,Bike,Dirtbike,135,225,225,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y225_Z225_Yes_Black_White.png,"(540, 960, 3)",49657,uint8
81,Automobile,Bike,Dirtbike,135,225,270,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y225_Z270_Yes_Black_White.png,"(540, 960, 3)",50699,uint8
82,Automobile,Bike,Dirtbike,135,225,315,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y225_Z315_Yes_Black_White.png,"(540, 960, 3)",49998,uint8
83,Automobile,Bike,Dirtbike,135,225,360,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y225_Z360_Yes_Black_White.png,"(540, 960, 3)",46893,uint8
84,Automobile,Bike,Dirtbike,135,270,0,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y270_Z0_Yes_Black_White.png,"(540, 960, 3)",49653,uint8
85,Automobile,Bike,Dirtbike,135,270,135,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y270_Z135_Yes_Black_White.png,"(540, 960, 3)",46871,uint8
86,Automobile,Bike,Dirtbike,135,270,180,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y270_Z180_Yes_Black_White.png,"(540, 960, 3)",57770,uint8
87,Automobile,Bike,Dirtbike,135,270,225,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y270_Z225_Yes_Black_White.png,"(540, 960, 3)",50939,uint8
88,Automobile,Bike,Dirtbike,135,270,270,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y270_Z270_Yes_Black_White.png,"(540, 960, 3)",59216,uint8
89,Automobile,Bike,Dirtbike,135,270,315,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y270_Z315_Yes_Black_White.png,"(540, 960, 3)",58594,uint8
90,Automobile,Bike,Dirtbike,135,270,360,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y270_Z360_Yes_Black_White.png,"(540, 960, 3)",49653,uint8
91,Automobile,Bike,Dirtbike,135,270,45,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y270_Z45_Yes_Black_White.png,"(540, 960, 3)",45694,uint8
92,Automobile,Bike,Dirtbike,135,270,90,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y270_Z90_Yes_Black_White.png,"(540, 960, 3)",50752,uint8
93,Automobile,Bike,Dirtbike,135,315,0,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y315_Z0_Yes_Black_White.png,"(540, 960, 3)",48752,uint8
94,Automobile,Bike,Dirtbike,135,315,135,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y315_Z135_Yes_Black_White.png,"(540, 960, 3)",51408,uint8
95,Automobile,Bike,Dirtbike,135,315,180,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y315_Z180_Yes_Black_White.png,"(540, 960, 3)",54119,uint8
96,Automobile,Bike,Dirtbike,135,315,360,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y315_Z360_Yes_Black_White.png,"(540, 960, 3)",48752,uint8
97,Automobile,Bike,Dirtbike,135,315,45,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y315_Z45_Yes_Black_White.png,"(540, 960, 3)",58111,uint8
98,Automobile,Bike,Dirtbike,135,315,90,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y315_Z90_Yes_Black_White.png,"(540, 960, 3)",54051,uint8
99,Automobile,Bike,Dirtbike,135,360,0,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y360_Z0_Yes_Black_White.png,"(540, 960, 3)",25504,uint8
100,Automobile,Bike,Dirtbike,135,360,135,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y360_Z135_Yes_Black_White.png,"(540, 960, 3)",31596,uint8
101,Automobile,Bike,Dirtbike,135,360,180,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y360_Z180_Yes_Black_White.png,"(540, 960, 3)",29105,uint8
102,Automobile,Bike,Dirtbike,135,360,360,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y360_Z360_Yes_Black_White.png,"(540, 960, 3)",25504,uint8
103,Automobile,Bike,Dirtbike,135,360,45,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y360_Z45_Yes_Black_White.png,"(540, 960, 3)",34645,uint8
104,Automobile,Bike,Dirtbike,135,360,90,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y360_Z90_Yes_Black_White.png,"(540, 960, 3)",31137,uint8
105,Automobile,Bike,Dirtbike,135,45,0,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y45_Z0_Yes_Black_White.png,"(540, 960, 3)",45802,uint8
106,Automobile,Bike,Dirtbike,135,45,135,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y45_Z135_Yes_Black_White.png,"(540, 960, 3)",47324,uint8
107,Automobile,Bike,Dirtbike,135,45,180,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y45_Z180_Yes_Black_White.png,"(540, 960, 3)",50937,uint8
108,Automobile,Bike,Dirtbike,135,45,360,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y45_Z360_Yes_Black_White.png,"(540, 960, 3)",45802,uint8
109,Automobile,Bike,Dirtbike,135,45,45,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y45_Z45_Yes_Black_White.png,"(540, 960, 3)",51785,uint8
110,Automobile,Bike,Dirtbike,135,45,90,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y45_Z90_Yes_Black_White.png,"(540, 960, 3)",50412,uint8
111,Automobile,Bike,Dirtbike,135,90,0,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y90_Z0_Yes_Black_White.png,"(540, 960, 3)",48763,uint8
112,Automobile,Bike,Dirtbike,135,90,135,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y90_Z135_Yes_Black_White.png,"(540, 960, 3)",50712,uint8
113,Automobile,Bike,Dirtbike,135,90,180,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y90_Z180_Yes_Black_White.png,"(540, 960, 3)",58090,uint8
114,Automobile,Bike,Dirtbike,135,90,225,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y90_Z225_Yes_Black_White.png,"(540, 960, 3)",47004,uint8
115,Automobile,Bike,Dirtbike,135,90,270,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y90_Z270_Yes_Black_White.png,"(540, 960, 3)",49517,uint8
116,Automobile,Bike,Dirtbike,135,90,315,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y90_Z315_Yes_Black_White.png,"(540, 960, 3)",44824,uint8
117,Automobile,Bike,Dirtbike,135,90,360,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y90_Z360_Yes_Black_White.png,"(540, 960, 3)",48763,uint8
118,Automobile,Bike,Dirtbike,135,90,45,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y90_Z45_Yes_Black_White.png,"(540, 960, 3)",57582,uint8
119,Automobile,Bike,Dirtbike,135,90,90,Yes,Black,White,Automobile_Bike_Dirtbike_X135_Y90_Z90_Yes_Black_White.png,"(540, 960, 3)",57630,uint8
120,Automobile,Bike,Dirtbike,180,0,0,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y0_Z0_Yes_Black_White.png,"(540, 960, 3)",16322,uint8
121,Automobile,Bike,Dirtbike,180,0,135,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y0_Z135_Yes_Black_White.png,"(540, 960, 3)",20080,uint8
122,Automobile,Bike,Dirtbike,180,0,180,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y0_Z180_Yes_Black_White.png,"(540, 960, 3)",19492,uint8
123,Automobile,Bike,Dirtbike,180,0,360,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y0_Z360_Yes_Black_White.png,"(540, 960, 3)",16322,uint8
124,Automobile,Bike,Dirtbike,180,0,45,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y0_Z45_Yes_Black_White.png,"(540, 960, 3)",20086,uint8
125,Automobile,Bike,Dirtbike,180,0,90,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y0_Z90_Yes_Black_White.png,"(540, 960, 3)",17885,uint8
126,Automobile,Bike,Dirtbike,180,135,0,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y135_Z0_Yes_Black_White.png,"(540, 960, 3)",43985,uint8
127,Automobile,Bike,Dirtbike,180,135,180,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y135_Z180_Yes_Black_White.png,"(540, 960, 3)",48250,uint8
128,Automobile,Bike,Dirtbike,180,135,225,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y135_Z225_Yes_Black_White.png,"(540, 960, 3)",50262,uint8
129,Automobile,Bike,Dirtbike,180,135,270,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y135_Z270_Yes_Black_White.png,"(540, 960, 3)",45938,uint8
130,Automobile,Bike,Dirtbike,180,135,315,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y135_Z315_Yes_Black_White.png,"(540, 960, 3)",52902,uint8
131,Automobile,Bike,Dirtbike,180,135,360,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y135_Z360_Yes_Black_White.png,"(540, 960, 3)",43985,uint8
132,Automobile,Bike,Dirtbike,180,180,0,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y180_Z0_Yes_Black_White.png,"(540, 960, 3)",17268,uint8
133,Automobile,Bike,Dirtbike,180,180,180,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y180_Z180_Yes_Black_White.png,"(540, 960, 3)",16872,uint8
134,Automobile,Bike,Dirtbike,180,180,225,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y180_Z225_Yes_Black_White.png,"(540, 960, 3)",18680,uint8
135,Automobile,Bike,Dirtbike,180,180,270,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y180_Z270_Yes_Black_White.png,"(540, 960, 3)",17609,uint8
136,Automobile,Bike,Dirtbike,180,180,315,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y180_Z315_Yes_Black_White.png,"(540, 960, 3)",20623,uint8
137,Automobile,Bike,Dirtbike,180,180,360,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y180_Z360_Yes_Black_White.png,"(540, 960, 3)",17268,uint8
138,Automobile,Bike,Dirtbike,180,225,0,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y225_Z0_Yes_Black_White.png,"(540, 960, 3)",43891,uint8
139,Automobile,Bike,Dirtbike,180,225,180,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y225_Z180_Yes_Black_White.png,"(540, 960, 3)",48416,uint8
140,Automobile,Bike,Dirtbike,180,225,225,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y225_Z225_Yes_Black_White.png,"(540, 960, 3)",50280,uint8
141,Automobile,Bike,Dirtbike,180,225,270,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y225_Z270_Yes_Black_White.png,"(540, 960, 3)",45778,uint8
142,Automobile,Bike,Dirtbike,180,225,315,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y225_Z315_Yes_Black_White.png,"(540, 960, 3)",52016,uint8
143,Automobile,Bike,Dirtbike,180,225,360,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y225_Z360_Yes_Black_White.png,"(540, 960, 3)",43891,uint8
144,Automobile,Bike,Dirtbike,180,270,0,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y270_Z0_Yes_Black_White.png,"(540, 960, 3)",45694,uint8
145,Automobile,Bike,Dirtbike,180,270,135,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y270_Z135_Yes_Black_White.png,"(540, 960, 3)",57770,uint8
146,Automobile,Bike,Dirtbike,180,270,180,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y270_Z180_Yes_Black_White.png,"(540, 960, 3)",50939,uint8
147,Automobile,Bike,Dirtbike,180,270,225,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y270_Z225_Yes_Black_White.png,"(540, 960, 3)",59216,uint8
148,Automobile,Bike,Dirtbike,180,270,270,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y270_Z270_Yes_Black_White.png,"(540, 960, 3)",58594,uint8
149,Automobile,Bike,Dirtbike,180,270,315,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y270_Z315_Yes_Black_White.png,"(540, 960, 3)",49653,uint8
150,Automobile,Bike,Dirtbike,180,270,360,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y270_Z360_Yes_Black_White.png,"(540, 960, 3)",45694,uint8
151,Automobile,Bike,Dirtbike,180,270,45,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y270_Z45_Yes_Black_White.png,"(540, 960, 3)",50752,uint8
152,Automobile,Bike,Dirtbike,180,270,90,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y270_Z90_Yes_Black_White.png,"(540, 960, 3)",46871,uint8
153,Automobile,Bike,Dirtbike,180,315,0,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y315_Z0_Yes_Black_White.png,"(540, 960, 3)",44222,uint8
154,Automobile,Bike,Dirtbike,180,315,135,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y315_Z135_Yes_Black_White.png,"(540, 960, 3)",49569,uint8
155,Automobile,Bike,Dirtbike,180,315,180,Yes,Black,White,Automobile_Bike_Dirtbike_X180_Y315_Z180_Yes_Black_White.png,"(540, 960, 3)",47447,uint8
